Alloy,Powder size,Laser power,Scan speed,Beam diameter,Layer thickness,Thermal diffusivity of gas,Balling,Liquidus temperature,Ambient temperature,Solidus temperature,Density,Viscosity,Surface tension,Thermal diffusivity of alloy,Latent heat of fusion of alloy,dγ/dT,Absorption,Specific heat,Thermal conductivity,,Volumetric energy density,Richardson number,Marangoni number,ε,F,T,NE,Prandtl number
Co-Cr,40,200,191.6,0.08,0.05,2.00E-05,0,1703,298,1603,8280,5.00E-03,1.85,3.77E-06,3.14E+05,-3.70E-04,4.80E-01,7.02E+02,4.10E+01,,207.6656356,1.46E-03,986,4.28,1.52E-02,1.52E-02,162.9485102,0.160176322
Co-Cr,40,200,208.9,0.08,0.05,2.00E-05,0,1703,298,1603,8280,5.00E-03,1.85,3.77E-06,3.14E+05,-3.70E-04,4.80E-01,7.02E+02,4.10E+01,,190.4678591,1.64E-03,949,4.62,1.39E-02,1.39E-02,156.055445,0.160176322
Co-Cr,40,200,226.2,0.08,0.05,2.00E-05,1,1703,298,1603,8280,5.00E-03,1.85,3.77E-06,3.14E+05,-3.70E-04,4.80E-01,7.02E+02,4.10E+01,,175.9006887,1.97E-03,875,4.48,1.25E-02,1.25E-02,149.9691211,0.160176322
Co-Cr,40,200,243.5,0.08,0.05,2.00E-05,1,1703,298,1603,8280,5.00E-03,1.85,3.77E-06,3.14E+05,-3.70E-04,4.80E-01,7.02E+02,4.10E+01,,163.4034323,2.35E-03,853,4.48,1.16E-02,1.16E-02,144.5435323,0.160176322
Ti6AI4V,30,50,500,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,12.73239545,1.53E-03,21.4,3.93,2.20E-03,2.20E-03,30.79564815,0.28755877
Ti6AI4V,30,50,750,0.1,0.03,3.49E-05,1,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,8.488263632,3.31E-04,7.44,4.21,1.07E-03,1.07E-03,25.14454142,0.28755877
Ti6AI4V,30,50,1000,0.1,0.03,3.49E-05,1,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,6.366197724,9.81E-05,1,5,5.00E-04,5.00E-04,21.77581164,0.28755877
Ti6AI4V,30,50,1200,0.1,0.03,3.49E-05,1,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,5.30516477,6.81E-06,1,10,8.33E-05,8.33E-05,19.8785054,0.28755877
Ti6AI4V,30,100,500,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,25.46479089,6.12E-04,211,5.1,5.00E-03,5.00E-03,61.5912963,0.28755877
Ti6AI4V,30,100,750,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,16.97652726,3.87E-03,143,6,3.20E-03,3.20E-03,50.28908285,0.28755877
Ti6AI4V,30,100,1000,0.1,0.03,3.49E-05,1,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,12.73239545,7.37E-03,95.9,6.47,2.20E-03,2.20E-03,43.55162328,0.28755877
Ti6AI4V,30,100,1200,0.1,0.03,3.49E-05,1,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,10.61032954,9.80E-04,67,6.88,1.83E-03,1.83E-03,39.75701081,0.28755877
Ti6AI4V,30,150,750,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,25.46479089,6.10E-04,356,6.55,4.80E-03,4.80E-03,75.43362427,0.28755877
Ti6AI4V,30,150,1000,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,19.09859317,2.55E-03,266,7.83,3.60E-03,3.60E-03,65.32743492,0.28755877
Ti6AI4V,30,195,1000,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,24.82817112,7.53E-04,441,7.69,4.23E-03,4.23E-03,84.92566539,0.28755877
Ti6AI4V,30,195,1200,0.1,0.03,3.49E-05,0,1928,298,1878,4430,4.00E-03,1.52,3.14E-06,3.14E+05,-3.70E-04,4.00E-01,5.25E+02,2.87E+01,,20.6901426,2.70E-03,399,8.13,3.53E-03,3.53E-03,77.52617108,0.28755877
Inconel 718,30,120,400,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,38.19718634,4.05E-04,393,5.66,7.50E-03,7.50E-03,60.05406606,0.212856535
Inconel 718,30,120,600,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,25.46479089,3.10E-03,268,6.38,5.00E-03,5.00E-03,49.03393961,0.212856535
Inconel 718,30,120,800,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,19.09859317,1.51E-02,181,7.32,1.29E-03,3.75E-03,42.46463735,0.212856535
Inconel 718,30,120,1000,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,15.27887454,1.63E-03,146,7.69,1.29E-03,3.00E-03,37.9815263,0.212856535
Inconel 718,30,120,1200,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,12.73239545,2.35E-03,93.4,8.06,1.23E-03,2.42E-03,34.67223121,0.212856535
Inconel 718,30,120,1400,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,10.91348181,4.01E-04,73.4,8.48,1.19E-03,2.00E-03,32.10024856,0.212856535
Inconel 718,30,170,400,0.1,0.03,2.00E-05,0,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,54.11268065,2.05E-04,870,6.72,1.92E-03,1.08E-02,85.07659359,0.212856535
Inconel 718,30,170,600,0.1,0.03,2.00E-05,0,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,36.07512043,2.04E-04,654,7.5,1.86E-03,7.00E-03,69.46474778,0.212856535
Inconel 718,30,170,800,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,27.05634033,3.39E-04,493,8.4,1.83E-03,5.25E-03,60.15823625,0.212856535
Inconel 718,30,170,1000,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,21.64507226,9.30E-04,323,9.32,1.74E-03,4.10E-03,53.80716226,0.212856535
Inconel 718,30,170,1200,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,18.03756022,1.51E-02,270,10,1.74E-03,3.42E-03,49.11899421,0.212856535
Inconel 718,30,170,1400,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,15.4607659,2.62E-03,195,10,1.68E-03,2.86E-03,45.47535212,0.212856535
Inconel 718,30,220,600,0.1,0.03,2.00E-05,0,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,46.68544997,8.78E-04,998,8.05,2.15E-03,8.18E-03,89.89555595,0.212856535
Inconel 718,30,220,800,0.1,0.03,2.00E-05,0,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,35.01408748,3.09E-04,780,8.59,2.09E-03,6.01E-03,77.85183514,0.212856535
Inconel 718,30,220,1000,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,28.01126998,7.91E-04,609,9.62,2.06E-03,4.81E-03,69.63279822,0.212856535
Inconel 718,30,220,1200,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,23.34272499,3.23E-03,465,10.02,2.00E-03,3.93E-03,63.56575721,0.212856535
Inconel 718,30,220,1400,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,20.00804999,2.06E-02,414,12.48,2.30E-03,3.92E-03,58.85045569,0.212856535
Inconel 718,30,270,1000,0.1,0.03,2.00E-05,0,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,34.37746771,3.16E-04,885,11.57,2.73E-03,6.48E-03,85.45843418,0.212856535
Inconel 718,30,270,1200,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,28.64788976,8.57E-04,709,12.23,2.71E-03,5.40E-03,78.01252022,0.212856535
Inconel 718,30,270,1400,0.1,0.03,2.00E-05,1,1609,298,1533,8100,5.00E-03,1.82,2.90E-06,2.09E+05,-3.70E-04,3.40E-01,3.92E+02,2.91E+01,,24.55533408,3.59E-03,637,12.76,2.67E-03,4.56E-03,72.22555925,0.212856535
